,address,addressZipcode,addressStreet,area,baths,beds,latitude,longitude,monthly_rent,nearest_transit,transit_walk_dist,transit_walk_time,ucsd_car_dist,ucsd_car_time,ucsd_transit_dist,ucsd_transit_time,nearest_grocery,grocery_car_dist,grocery_car_time,coast_dist_km,medNeighborhoodIncome,zip_code,avg_crime
0,"Vadara West, 2724 El Cajon Blvd #402, San Diego, CA 92104",92104,2724 El Cajon Blvd #402,795.0,1.0,1.0,32.755623,-117.13433,2995,City College,5.8 km,1 hour 17 mins,23.5 km,20 mins,27.6 km,1 hour 8 mins,Whole Foods Market,2.9 km,8 mins,11.041506516223793,92862,92104.0,1.3363227513227514
1,"Fashion Terrace, 6888 Friars Rd, San Diego, CA 92108",92108,6888 Friars Rd,1038.0,2.0,2.0,32.76901,-117.17207,3100,Old Town,3.8 km,52 mins,19.1 km,16 mins,19.4 km,45 mins,Whole Foods Market,4.1 km,7 mins,7.417457119495843,101704,92108.0,21.67928571428571
2,"Esprit Villas, 9830 Reagan Rd #60b404513, San Diego, CA 92126",92126,9830 Reagan Rd #60b404513,950.0,2.0,2.0,32.909718,-117.1474,2895,Miramar College Transit Station,2.9 km,42 mins,14.0 km,17 mins,14.6 km,43 mins,H Mart,3.5 km,10 mins,10.119282389326504,123232,92126.0,0.7442857142857143
3,"The Royal of Rancho Penasquitos, 9808 Paseo Montalban #27, San Diego, CA 92129",92129,9808 Paseo Montalban #27,982.0,2.0,2.0,32.962887,-117.11749,3095,Sabre Springs/Peñasquitos Transit Station,5.5 km,1 hour 16 mins,22.5 km,17 mins,23.6 km,1 hour 4 mins,H Mart,6.3 km,9 mins,13.790490435228431,152626,92129.0,0.5082010582010582
4,"10632 Quill Ct, San Diego, CA 92126",92126,10632 Quill Ct,1943.0,4.0,3.0,32.897533,-117.165726,5680,Miramar College Transit Station,6.7 km,1 hour 35 mins,9.5 km,15 mins,13.9 km,1 hour 0 mins,H Mart,7.2 km,14 mins,8.191808270342458,123232,92126.0,0.7442857142857143
5,"12605 El Camino Real Unit A, San Diego, CA 92130",92130,12605 El Camino Real Unit A,1584.0,3.0,3.0,32.94676,-117.23668,5195,Sorrento Valley,6.0 km,1 hour 21 mins,10.6 km,12 mins,,,Whole Foods Market,5.8 km,9 mins,2.7968179732476575,201731,92130.0,0.42060846560846554
6,"3709 Torrey View Ct, San Diego, CA 92130",92130,3709 Torrey View Ct,2541.0,4.0,4.0,32.920628,-117.23516,7350,UCSD Central Campus Station,6.1 km,1 hour 26 mins,7.6 km,9 mins,9.8 km,1 hour 32 mins,Jimbo’s - Carmel Valley,4.9 km,8 mins,2.4899663314786715,201731,92130.0,0.42060846560846554
7,"3405 Caminito Santa Fe Downs, Del Mar, CA 92014",92014,3405 Caminito Santa Fe Downs,4128.0,5.0,4.0,32.98119,-117.23833,10800,Solana Beach,4.3 km,1 hour 0 mins,15.6 km,13 mins,21.5 km,1 hour 18 mins,Whole Foods Market,1.4 km,4 mins,3.4693066466890627,194528,,
8,"13286 Ocean Vista Rd, San Diego, CA 92130",92130,13286 Ocean Vista Rd,2479.0,4.0,3.0,32.958984,-117.24186,12000,Solana Beach,8.7 km,1 hour 56 mins,12.0 km,11 mins,,,Whole Foods Market,5.1 km,8 mins,2.2039738677358054,201731,92130.0,0.42060846560846554
9,"6188 Sunset Crest Way, San Diego, CA 92121",92121,6188 Sunset Crest Way,1832.0,2.0,4.0,32.91745,-117.18708,5200,Sorrento Valley,4.3 km,57 mins,9.2 km,11 mins,14.6 km,1 hour 15 mins,Trader Joe's,15.0 km,15 mins,6.928711002508626,135795,92121.0,3.6518253968253975
